;name_with_owner;;First Contentful Paint (sec);Time to Interactive (sec);Speed Index (sec);Total Blocking Time (ms);Largest Contentful Paint (sec);Cumulative Layout Shift;Performance;Accessibility;Best Practices;Seo
1;mui-org/material-ui;;0,4;0,4;0,4;0;0,8;0,013;100;93;100;91
2;chakra-ui/chakra-ui;;0,4;0,4;0,4;0;0,8;0;99;91;100;100
3;Semantic-Org/Semantic-UI-React;;0,6;0,6;0,6;0;1;0;99;91;100;100
4;microsoft/fluentui;;0,4;0,4;0,4;0;0,8;0,013;100;91;100;82
5;rebassjs/rebass;;0,4;0,4;0,4;0;0,8;0,013;100;93;100;100
6;uber/baseweb;;0,4;0,4;0,4;0;0,8;0,013;100;93;100;100
7;adobe/react-spectrum;;0,4;0,4;0,4;0;0,8;0,013;100;100;100;100
8;weui/react-weui;;0,4;0,4;0,4;0;0,8;0,013;100;98;100;100
9;primefaces/primereact;;0,4;0,4;0,4;0;0,8;0;100;98;100;100
10;myxvisual/react-uwp;;0,4;0,4;0,4;0;0,8;0;100;91;100;100
11;couds/react-bulma-components;;0,4;0,4;0,4;0;0,8;0,013;100;100;100;100
12;pivotal-cf/pivotal-ui;;0,4;0,4;0,4;0;0,8;0;100;100;100;100
13;sumup-oss/circuit-ui;;;;;;;;;;;
14;digiaonline/react-foundation;;0,4;0,4;0,4;0;0,8;0;100;100;100;100
15;uiwjs/uiw;;0,5;0,5;0,5;0;0,8;0,013;99;98;100;100
16;patternfly/patternfly-react;;;;;;;;;;;
17;kulakowka/react-bulma;;0,4;0,4;0,4;0;0,8;0;100;98;100;100
18;ConsenSysMesh/rimble-ui;;0,7;1;0,7;30;1;0,013;98;100;100;100
19;bmcmahen/sancho;;;;;;;;;;;
20;segunadebayo/chakra-ui;;;;;;;;;;;
21;Yoshino-UI/Yoshino;;0,5;0,5;0,5;0;0,8;0;100;93;100;100
22;aichbauer/styled-bootstrap-components;;0,4;0,6;0,4;10;0,8;0,013;100;93;100;100
23;syncfusion/ej2-react-ui-components;;0,6;0,6;0,6;0;1;0,013;98;93;100;100
24;shine-design/shine-design;;0,5;0,5;0,5;0;0,9;0,013;98;93;93;100
25;SAP/fundamental-react;;0,4;0,4;0,4;0;0,8;0,013;100;93;100;100
26;contentful/forma-36;;0,4;0,4;0,4;0;0,8;0,013;99;93;100;100
27;vtex/styleguide;;0,4;0,4;0,4;0;0,8;0;100;93;100;100
28;brainly/style-guide;;0,4;0,4;0,4;0;0,8;0;100;93;100;100
29;fluent-org/fluent-windows;;0,5;0,8;0,5;10;0,9;0,013;99;93;100;100
30;tranbathanhtung/re-jok;;0,4;0,4;0,4;0;0,8;0;100;93;100;100
