nameWithOwner,stars,totalIssues,closedWithParticipation,awnsered_questions,questions
mui-org/material-ui,67849,12885,11904,537,1000
chakra-ui/chakra-ui,17340,1762,1535,7,18
Semantic-Org/Semantic-UI-React,12227,2384,2060,103,205
microsoft/fluentui,11250,7553,6367,0,0
rebassjs/rebass,7271,469,379,3,7
uber/baseweb,6304,777,575,3,3
adobe/react-spectrum,4535,556,356,0,0
weui/react-weui,2767,223,128,0,0
ElemeFE/element-react,2618,472,207,0,0
primefaces/primereact,1980,1719,875,30,58
couds/react-bulma-components,1031,186,166,0,0
pivotal-cf/pivotal-ui,638,270,231,0,0
sumup-oss/circuit-ui,638,160,121,0,0
digiaonline/react-foundation,574,52,39,0,0
uiwjs/uiw,539,42,26,0,0
patternfly/patternfly-react,464,2723,2008,0,0
kulakowka/react-bulma,454,16,7,0,0
ConsenSysMesh/rimble-ui,380,299,177,0,0
bmcmahen/sancho,372,44,8,0,0
segunadebayo/chakra-ui,322,5,0,7,18
Yoshino-UI/Yoshino,216,9,2,0,0
aichbauer/styled-bootstrap-components,195,37,26,0,0
syncfusion/ej2-react-ui-components,173,75,62,0,0
shine-design/shine-design,154,0,0,0,0
SAP/fundamental-react,153,366,178,0,0
contentful/forma-36,142,104,76,0,0
vtex/styleguide,139,302,191,0,0
brainly/style-guide,138,667,319,0,0
fluent-org/fluent-windows,119,11,1,0,0
tranbathanhtung/re-jok,102,3,2,0,0
