top,nameWithOwner,createdAt,releasesByRepoAge,averageTimeForMergePRInDays
1,mui-org/material-ui,2014-08-18T19:11:54Z,44.93,1
1,chakra-ui/chakra-ui,2019-08-17T14:27:54Z,484.71,2
1,Semantic-Org/Semantic-UI-React,2015-06-19T16:47:19Z,2.39,2
1,microsoft/fluentui,2016-06-06T15:03:44Z,1460.2,1
1,rebassjs/rebass,2015-02-11T14:48:09Z,0.64,18
1,uber/baseweb,2018-03-09T01:32:10Z,106.37,4
1,adobe/react-spectrum,2019-09-13T23:32:51Z,0.0,8
1,weui/react-weui,2015-10-12T06:10:32Z,0.9,9
1,myxvisual/react-uwp,2017-01-09T04:20:58Z,0.69,3
1,primefaces/primereact,2016-12-16T15:56:27Z,18.76,11
2,couds/react-bulma-components,2017-09-18T15:14:39Z,10.25,3
2,pivotal-cf/pivotal-ui,2014-05-16T18:52:56Z,3.16,0
2,sumup-oss/circuit-ui,2017-06-26T09:57:50Z,59.9,3
2,digiaonline/react-foundation,2016-03-10T19:58:03Z,1.95,8
2,uiwjs/uiw,2017-10-26T11:39:32Z,33.33,0
2,patternfly/patternfly-react,2017-03-08T22:31:12Z,1835.02,10
2,kulakowka/react-bulma,2017-05-30T21:04:25Z,0.0,2
2,ConsenSysMesh/rimble-ui,2018-07-10T18:24:51Z,4.29,5
2,bmcmahen/sancho,2019-02-25T20:50:06Z,0.0,0
2,segunadebayo/chakra-ui,2019-06-06T23:07:21Z,0.0,0
3,Yoshino-UI/Yoshino,2018-03-25T08:00:14Z,0.0,0
3,aichbauer/styled-bootstrap-components,2018-03-06T19:48:13Z,0.0,15
3,syncfusion/ej2-react-ui-components,2018-10-31T06:16:27Z,45.2,0
3,shine-design/shine-design,2018-08-29T15:50:54Z,6.37,0
3,SAP/fundamental-react,2018-09-07T18:43:00Z,10.98,0
3,contentful/forma-36,2018-10-19T13:00:05Z,591.7,1
3,vtex/styleguide,2017-04-20T15:28:03Z,93.55,2
3,brainly/style-guide,2015-06-18T13:12:08Z,109.71,0
3,fluent-org/fluent-windows,2019-07-14 10:33:02+00:00,0,0
3,tranbathanhtung/re-jok,2018-05-24 13:59:11+00:00,0,0
